file	pckfgs	classes	methods
F:\ALIFE\javancss\out\2018-06-15-AndroidV2-34_library_common_and.txt	10	20	96
F:\ALIFE\javancss\out\2018-06-15-AndroidV2-34_library_facebook.txt	5	72	1024
F:\ALIFE\javancss\out\2018-06-15-AndroidV2-34_library_google_maps.txt	1	3	16
F:\ALIFE\javancss\out\2018-06-15-AndroidV2-34_library_google_maps2.txt	1	3	13
F:\ALIFE\javancss\out\2018-06-15-AndroidV2-34_library_web_maps.txt	1	4	29
F:\ALIFE\javancss\out\2018-06-22-AndroidV2-30_project.txt	74	363	3721
F:\ALIFE\javancss\out\2018-06-22-AndroidV2-30_project_alpha.txt	14	42	260
F:\ALIFE\javancss\out\2018-06-22-AndroidV2-31_android_demo.txt	1	3	7
F:\ALIFE\javancss\out\2018-06-22-AndroidV2-31_android_full.txt	1	3	6
F:\ALIFE\javancss\out\2018-06-22-AndroidV2-31_android_lite.txt	4	8	24
F:\ALIFE\javancss\out\2018-06-22-AndroidV2-32_blackberry_full.txt	1	3	2
F:\ALIFE\javancss\out\2018-06-22-AndroidV2-32_blackberry_lite.txt	3	7	18
F:\ALIFE\javancss\out\2018-06-22-AndroidV2-34_library_common_and.txt	10	20	96
F:\ALIFE\javancss\out\2018-06-22-AndroidV2-34_library_facebook.txt	5	72	1024
F:\ALIFE\javancss\out\2018-06-22-AndroidV2-34_library_google_maps.txt	1	3	16
F:\ALIFE\javancss\out\2018-06-22-AndroidV2-34_library_google_maps2.txt	1	3	13
F:\ALIFE\javancss\out\2018-06-22-AndroidV2-34_library_web_maps.txt	1	4	29
F:\ALIFE\javancss\out\2018-06-29-AndroidV2-30_project.txt	74	363	3732
F:\ALIFE\javancss\out\2018-06-29-AndroidV2-30_project_alpha.txt	14	44	274
F:\ALIFE\javancss\out\2018-06-29-AndroidV2-31_android_demo.txt	1	3	7
F:\ALIFE\javancss\out\2018-06-29-AndroidV2-31_android_full.txt	1	3	6
F:\ALIFE\javancss\out\2018-06-29-AndroidV2-31_android_lite.txt	4	8	24
F:\ALIFE\javancss\out\2018-06-29-AndroidV2-32_blackberry_full.txt	1	3	2
F:\ALIFE\javancss\out\2018-06-29-AndroidV2-32_blackberry_lite.txt	3	7	18
F:\ALIFE\javancss\out\2018-06-29-AndroidV2-34_library_common_and.txt	10	20	96
F:\ALIFE\javancss\out\2018-06-29-AndroidV2-34_library_facebook.txt	5	72	1024
F:\ALIFE\javancss\out\2018-06-29-AndroidV2-34_library_google_maps.txt	1	3	16
F:\ALIFE\javancss\out\2018-06-29-AndroidV2-34_library_google_maps2.txt	1	3	13
F:\ALIFE\javancss\out\2018-06-29-AndroidV2-34_library_web_maps.txt	1	4	29
F:\ALIFE\javancss\out\2018-07-06-AndroidV2-30_project.txt	74	365	3762
F:\ALIFE\javancss\out\2018-07-06-AndroidV2-30_project_alpha.txt	14	44	275
F:\ALIFE\javancss\out\2018-07-06-AndroidV2-31_android_demo.txt	1	3	7
F:\ALIFE\javancss\out\2018-07-06-AndroidV2-31_android_full.txt	1	3	6
F:\ALIFE\javancss\out\2018-07-06-AndroidV2-31_android_lite.txt	4	8	24
F:\ALIFE\javancss\out\2018-07-06-AndroidV2-32_blackberry_full.txt	1	3	2
F:\ALIFE\javancss\out\2018-07-06-AndroidV2-32_blackberry_lite.txt	3	7	18
F:\ALIFE\javancss\out\2018-07-06-AndroidV2-34_library_common_and.txt	10	20	96
F:\ALIFE\javancss\out\2018-07-06-AndroidV2-34_library_facebook.txt	5	72	1024
F:\ALIFE\javancss\out\2018-07-06-AndroidV2-34_library_google_maps.txt	1	3	16
F:\ALIFE\javancss\out\2018-07-06-AndroidV2-34_library_google_maps2.txt	1	3	13
F:\ALIFE\javancss\out\2018-07-06-AndroidV2-34_library_web_maps.txt	1	4	29
F:\ALIFE\javancss\out\2018-07-13-AndroidV2-30_project.txt	81	394	4004
F:\ALIFE\javancss\out\2018-07-13-AndroidV2-30_project_alpha.txt	4	8	34
F:\ALIFE\javancss\out\2018-07-13-AndroidV2-31_android_demo.txt	1	3	7
F:\ALIFE\javancss\out\2018-07-13-AndroidV2-31_android_full.txt	1	3	6
F:\ALIFE\javancss\out\2018-07-13-AndroidV2-31_android_lite.txt	4	8	24
F:\ALIFE\javancss\out\2018-07-13-AndroidV2-32_blackberry_full.txt	1	3	2
F:\ALIFE\javancss\out\2018-07-13-AndroidV2-32_blackberry_lite.txt	3	7	18
F:\ALIFE\javancss\out\2018-07-13-AndroidV2-34_library_common_and.txt	10	20	96
F:\ALIFE\javancss\out\2018-07-13-AndroidV2-34_library_facebook.txt	5	72	1024
F:\ALIFE\javancss\out\2018-07-13-AndroidV2-34_library_google_maps.txt	1	3	16
F:\ALIFE\javancss\out\2018-07-13-AndroidV2-34_library_google_maps2.txt	1	3	14
F:\ALIFE\javancss\out\2018-07-13-AndroidV2-34_library_web_maps.txt	1	4	29
F:\ALIFE\javancss\out\2018-07-20-AndroidV2-30_project.txt	81	390	3987
F:\ALIFE\javancss\out\2018-07-20-AndroidV2-30_project_alpha.txt	4	10	44
F:\ALIFE\javancss\out\2018-07-20-AndroidV2-31_android_demo.txt	1	3	7
F:\ALIFE\javancss\out\2018-07-20-AndroidV2-31_android_full.txt	1	3	6
F:\ALIFE\javancss\out\2018-07-20-AndroidV2-31_android_lite.txt	5	9	26
F:\ALIFE\javancss\out\2018-07-20-AndroidV2-32_blackberry_full.txt	1	3	2
F:\ALIFE\javancss\out\2018-07-20-AndroidV2-32_blackberry_lite.txt	3	7	18
F:\ALIFE\javancss\out\2018-07-20-AndroidV2-34_library_common_and.txt	10	20	96
F:\ALIFE\javancss\out\2018-07-20-AndroidV2-34_library_facebook.txt	5	72	1024
F:\ALIFE\javancss\out\2018-07-20-AndroidV2-34_library_google_maps.txt	0	0	0
F:\ALIFE\javancss\out\2018-07-20-AndroidV2-34_library_google_maps2.txt	1	3	15
F:\ALIFE\javancss\out\2018-07-20-AndroidV2-34_library_web_maps.txt	1	4	29
F:\ALIFE\javancss\out\2018-07-27-AndroidV2-30_project.txt	81	390	3987
F:\ALIFE\javancss\out\2018-07-27-AndroidV2-30_project_alpha.txt	4	10	44
F:\ALIFE\javancss\out\2018-07-27-AndroidV2-31_android_demo.txt	1	3	7
F:\ALIFE\javancss\out\2018-07-27-AndroidV2-31_android_full.txt	1	3	6
F:\ALIFE\javancss\out\2018-07-27-AndroidV2-31_android_lite.txt	5	9	26
