file 	lang 	files 	blanks 	comments 	code
F:\ALIFE\cloc\2017-10-20.scv	Objective C	258	11525	9568	34276
F:\ALIFE\cloc\2017-10-20.scv	Velocity Template Language	29	248	1	1269
F:\ALIFE\cloc\2017-10-20.scv	Perl	1	7	0	105
F:\ALIFE\cloc\2017-10-20.scv	MXML	1	6	0	47
F:\ALIFE\cloc\2017-10-20.scv	SQL	51	15579	5482	53654
F:\ALIFE\cloc\2017-10-20.scv	C/C++ Header	470	5747	11635	15142
F:\ALIFE\cloc\2017-10-20.scv	XML	318	2491	678	89266
F:\ALIFE\cloc\2017-10-20.scv	Javascript	50	2738	8928	17342
F:\ALIFE\cloc\2017-10-20.scv	DOS Batch	24	167	16	605
F:\ALIFE\cloc\2017-10-20.scv	JavaServer Faces	4	10	0	140
F:\ALIFE\cloc\2017-10-20.scv	ActionScript	1	28	4	152
F:\ALIFE\cloc\2017-10-27-AndroidV2-30_project.scv	Java	207	5727	3298	22576
F:\ALIFE\cloc\2017-10-27-AndroidV2-30_project.scv	XML	159	1580	359	11658
F:\ALIFE\cloc\2017-10-27.scv	Java	686	17905	16152	57674
F:\ALIFE\cloc\2017-10-27.scv	CSS	127	8051	2792	37137
F:\ALIFE\cloc\2017-10-27.scv	Visualforce Component	13	0	0	118
F:\ALIFE\cloc\2017-10-27.scv	Bourne Shell	6	36	19	91
F:\ALIFE\cloc\2017-10-27.scv	JSP	136	2512	2143	12832
F:\ALIFE\cloc\2017-10-27.scv	Ant	19	141	1	725
F:\ALIFE\cloc\2017-10-27.scv	XSD	7	203	3	1876
F:\ALIFE\cloc\2017-10-27.scv	HTML	1260	19326	16706	298561
F:\ALIFE\cloc\2017-10-27.scv	Objective C	259	11598	9616	34446
F:\ALIFE\cloc\2017-10-27.scv	Velocity Template Language	29	248	1	1269
F:\ALIFE\cloc\2017-10-27.scv	Perl	1	7	0	105
F:\ALIFE\cloc\2017-10-27.scv	JSON	3	0	0	3
F:\ALIFE\cloc\2017-10-27.scv	MXML	1	6	0	47
F:\ALIFE\cloc\2017-10-27.scv	SQL	51	15579	5482	53654
F:\ALIFE\cloc\2017-10-27.scv	C/C++ Header	471	5762	11646	15200
F:\ALIFE\cloc\2017-10-27.scv	XML	318	2492	678	89267
F:\ALIFE\cloc\2017-10-27.scv	Javascript	125	5921	11832	38454
F:\ALIFE\cloc\2017-10-27.scv	DOS Batch	24	167	16	605
F:\ALIFE\cloc\2017-10-27.scv	JavaServer Faces	4	10	0	140
F:\ALIFE\cloc\2017-10-27.scv	ActionScript	1	28	4	152
F:\ALIFE\cloc\2017-11-03-AndroidV2-30_project.scv	Java	207	5727	3298	22576
F:\ALIFE\cloc\2017-11-03-AndroidV2-30_project.scv	XML	159	1582	359	11660
F:\ALIFE\cloc\2017-11-03.scv	Java	686	17905	16152	57674
F:\ALIFE\cloc\2017-11-03.scv	CSS	127	8051	2792	37137
F:\ALIFE\cloc\2017-11-03.scv	Visualforce Component	13	0	0	118
F:\ALIFE\cloc\2017-11-03.scv	Bourne Shell	6	36	19	91
F:\ALIFE\cloc\2017-11-03.scv	JSP	136	2512	2143	12832
F:\ALIFE\cloc\2017-11-03.scv	Ant	19	141	1	725
F:\ALIFE\cloc\2017-11-03.scv	XSD	7	203	3	1876
F:\ALIFE\cloc\2017-11-03.scv	HTML	1260	19326	16706	298561
F:\ALIFE\cloc\2017-11-03.scv	Objective C	259	11598	9616	34446
F:\ALIFE\cloc\2017-11-03.scv	Velocity Template Language	29	248	1	1269
F:\ALIFE\cloc\2017-11-03.scv	Perl	1	7	0	105
F:\ALIFE\cloc\2017-11-03.scv	JSON	3	0	0	3
F:\ALIFE\cloc\2017-11-03.scv	MXML	1	6	0	47
F:\ALIFE\cloc\2017-11-03.scv	SQL	51	15579	5482	53654
F:\ALIFE\cloc\2017-11-03.scv	C/C++ Header	471	5762	11646	15200
F:\ALIFE\cloc\2017-11-03.scv	XML	318	2494	678	89269
