File,Total Time,Coding %,Debugging %,Testing %,FC% Flow Complexity,OV% Object Vocabulary,OC% Object Conjuration,AI% Arithmetic Intricacy,DT% Data Transfer,ID% Inline Data,CS% Code Structure,CM% Comments,CCR Code to Comment Ratio,ECF Essential Comment Factor,CSM Code Structure Modularity,LD Logic Density,SDE Source Divergence Entropy,IDF Information Diversity Factor,OCF Object Convolution Factor,LLOC Logical Lines of Code,Multi Line Comments,Single Line Comments,High Quality Comments,Strings,Numeric Constants,Code Nature,Quality Notes Count,Quality Notes Detail,
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\exercises\activities\ExerciseListProvider.java,12,51,30,20,11,62,14,1,5,0,7,0,3,8,175,33,32,141,26,29,0,1,1,2,0,Normal,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\exercises\activities\ExercisesActivity.java,32,47,32,21,26,48,13,0,6,0,6,0,10,34,130,51,43,171,24,75,0,8,8,2,23,Normal,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\exercises\activities\VideoActivity.java,35,47,32,21,27,47,13,0,6,1,6,0,4,11,165,41,40,171,22,89,0,4,4,23,10,Normal,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\exercises\dao\ExercisesDaoComponent.java,7,53,29,19,6,68,17,0,4,1,3,2,36,233,29,42,19,158,30,18,7,0,7,0,8,Normal,0,
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\exercises\dao\ExercisesDaoComponentImpl.java,66,41,36,23,51,19,17,1,7,0,5,1,27,92,111,61,54,556,38,131,6,34,36,34,3,Data Manipulation Oriented,0,
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\exercises\dao\helper\ExerciseDefinition.java,28,48,31,21,15,41,27,1,8,0,7,0,9,36,92,36,39,415,40,84,0,10,8,24,0,Normal,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\exercises\dao\helper\ExerciseDomainDefinition.java,11,50,30,20,9,53,24,0,6,0,7,0,8,30,116,28,33,280,36,34,0,4,3,8,0,Normal,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\exercises\vao\Exercise.java,14,49,31,20,7,46,24,7,5,0,11,0,1,3,201,40,28,318,25,60,1,0,1,12,1,Algorithmic Oriented,2,* Needs more comments. * Code structure may be too fragmented. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\exercises\vao\ExerciseDomain.java,5,51,30,19,6,57,17,6,3,0,9,0,4,10,197,38,25,187,21,20,1,0,1,4,1,Algorithmic Oriented,1,* Code structure may be too fragmented. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\exerciseshistory\activities\ExerciseHistoryActivity.java,8,51,30,20,13,65,9,0,6,0,7,0,5,11,203,15,34,82,17,19,0,1,1,1,0,Normal,0,
